id,Education_Level,Age_Group,Gender,Race,Offense_Type,Criminal_History_Category,Sentence_Length_months,Probation,Below_Guideline,Trial
426,Less than HS,≤34,M,Black,Immigration,I,59,0,0,0
427,Some College,≤34,M,Black,Drug Trafficking,I,41,0,1,0
428,Some College,35-44,M,White,Fraud,I,29,0,1,0
429,High School,≤34,M,White,Immigration,VI,53,0,0,0
430,High School,55+,M,Other,Fraud,IV,89,0,1,0
431,High School,55+,M,White,Firearms,I,72,0,1,0
432,Less than HS,35-44,M,Hispanic,Immigration,IV,32,0,0,0
433,High School,55+,M,Other,Firearms,V,91,0,0,0
434,Less than HS,35-44,M,Black,Fraud,VI,63,0,1,0
435,High School,≤34,M,Other,Fraud,III,78,0,1,0
436,Undergraduate Degree,35-44,M,White,Child Pornography,I,41,0,1,0
437,Less than HS,≤34,M,Hispanic,Drug Trafficking,III,77,0,1,0
438,High School,45-54,M,Black,Drug Trafficking,I,90,0,0,0
439,High School,55+,M,Other,Drug Trafficking,V,55,1,1,0
440,Undergraduate Degree,45-54,F,Other,Child Pornography,I,54,0,0,0
441,Less than HS,≤34,M,Hispanic,Immigration,V,62,0,1,0
442,Less than HS,≤34,M,Hispanic,Robbery,VI,90,0,0,0
443,Graduate Degree,45-54,M,White,Tax,I,52,0,1,0
444,Undergraduate Degree,45-54,M,Black,Sexual Abuse,I,45,0,1,0
445,High School,45-54,M,Black,Firearms,IV,92,0,0,0
446,High School,45-54,M,White,Firearms,III,64,0,0,0
447,High School,45-54,M,Hispanic,Firearms,I,64,0,1,0
448,Some College,≤34,M,Other,Firearms,I,49,0,1,0
449,Less than HS,≤34,M,Black,Robbery,VI,42,0,1,0
450,High School,55+,M,Other,Drug Trafficking,VI,58,0,0,0
451,Some College,35-44,M,White,Child Pornography,I,43,0,1,0
452,High School,≤34,F,Hispanic,Fraud,VI,64,0,1,0
453,High School,35-44,M,Hispanic,Drug Trafficking,I,85,0,0,0
454,Less than HS,55+,F,Other,Fraud,I,44,0,1,0
455,High School,45-54,F,Hispanic,Fraud,VI,54,0,0,0
456,Undergraduate Degree,35-44,M,Other,Fraud,I,24,0,0,1
457,Less than HS,35-44,M,Hispanic,Drug Trafficking,IV,46,0,0,0
458,Less than HS,35-44,M,Other,Robbery,VI,86,0,1,0
459,High School,45-54,M,Hispanic,Fraud,VI,90,0,1,0
460,High School,35-44,F,Hispanic,Immigration,I,95,0,1,0
461,High School,≤34,M,Hispanic,Drug Trafficking,VI,51,0,1,0
462,High School,≤34,M,White,Firearms,VI,67,0,1,0
463,Undergraduate Degree,45-54,M,White,Child Pornography,I,11,0,0,0
464,Less than HS,45-54,M,Hispanic,Firearms,IV,72,0,1,0
465,High School,≤34,M,Other,Immigration,I,75,0,1,0
466,Less than HS,≤34,F,Black,Robbery,V,27,0,0,0
467,Some College,≤34,M,Other,Drug Trafficking,I,84,0,0,0
468,Graduate Degree,55+,M,Other,Fraud,I,19,1,0,1
469,Less than HS,≤34,M,Hispanic,Drug Trafficking,III,62,0,0,0
470,High School,35-44,M,Hispanic,Fraud,III,70,0,1,0
471,Undergraduate Degree,35-44,M,Black,Money Laundering,I,38,0,0,0
472,Less than HS,≤34,M,Hispanic,Drug Trafficking,II,48,0,0,0
473,High School,55+,M,Hispanic,Drug Trafficking,I,53,0,1,0
474,Undergraduate Degree,45-54,M,Hispanic,Child Pornography,I,43,0,0,0
475,Some College,35-44,M,White,Firearms,IV,44,0,1,0
476,Less than HS,35-44,M,Hispanic,Immigration,IV,52,0,0,0
477,Less than HS,35-44,M,Hispanic,Fraud,I,51,0,1,0
478,Some College,≤34,M,Hispanic,Child Pornography,IV,77,0,1,0
479,Some College,55+,M,Hispanic,Child Pornography,I,56,0,1,0
480,High School,35-44,M,Hispanic,Fraud,III,71,0,1,0
481,Undergraduate Degree,≤34,F,Other,Sexual Abuse,I,44,0,1,0
482,High School,35-44,F,Hispanic,Drug Trafficking,I,64,0,1,0
483,High School,35-44,F,Black,Drug Trafficking,VI,31,0,0,0
484,High School,45-54,M,Black,Fraud,VI,54,0,0,0
485,Some College,≤34,M,Other,Firearms,I,44,0,1,0
486,Some College,35-44,M,White,Firearms,I,29,0,0,0
487,Less than HS,≤34,M,Black,Drug Trafficking,II,59,0,1,0
488,Less than HS,35-44,F,Black,Drug Trafficking,VI,57,0,0,0
489,Less than HS,35-44,M,Other,Firearms,III,58,0,1,0
490,High School,45-54,M,Black,Fraud,I,68,1,0,0
491,Graduate Degree,55+,F,White,Tax,I,28,0,0,0
492,High School,≤34,M,Other,Firearms,I,37,0,1,0
493,Some College,35-44,M,Hispanic,Firearms,I,75,0,1,0
494,Less than HS,≤34,M,Black,Drug Trafficking,V,52,0,1,0
495,Undergraduate Degree,35-44,M,Hispanic,Child Pornography,I,40,0,0,0
496,High School,45-54,M,Black,Fraud,I,47,0,1,0
497,Undergraduate Degree,55+,M,White,Tax,I,52,0,0,0
498,Undergraduate Degree,45-54,M,White,Drug Trafficking,I,41,0,0,0
499,High School,45-54,M,Other,Fraud,II,49,0,1,0
500,High School,55+,M,Other,Drug Trafficking,IV,51,0,1,0
501,High School,≤34,M,Black,Fraud,IV,60,0,0,0
502,High School,35-44,F,Black,Drug Trafficking,II,75,0,1,0
503,Less than HS,≤34,M,White,Fraud,II,65,0,1,0
504,High School,35-44,M,White,Firearms,III,59,0,1,0
505,Undergraduate Degree,35-44,M,Black,Fraud,I,44,0,0,0
506,High School,45-54,M,White,Fraud,V,65,0,0,0
507,High School,55+,M,Black,Drug Trafficking,II,58,0,0,0
508,Some College,55+,M,White,Child Pornography,VI,23,0,1,0
509,Less than HS,≤34,M,Black,Robbery,I,59,0,1,0
510,High School,45-54,F,Other,Drug Trafficking,I,92,0,0,0
511,Undergraduate Degree,≤34,M,Other,Money Laundering,I,40,1,1,0
512,Less than HS,35-44,M,Black,Robbery,IV,49,0,0,0
513,High School,45-54,M,White,Firearms,I,83,0,1,0
514,Some College,35-44,M,White,Firearms,I,41,0,0,0
515,Some College,≤34,M,White,Drug Trafficking,VI,52,0,0,0
516,Undergraduate Degree,≤34,M,Black,Money Laundering,I,16,0,1,0
517,Some College,≤34,F,Black,Firearms,I,65,0,0,0
518,Less than HS,35-44,M,Black,Immigration,V,70,0,1,0
519,High School,35-44,M,Other,Immigration,III,96,0,1,0
520,High School,45-54,M,Hispanic,Fraud,I,56,0,0,0
521,High School,35-44,M,Black,Firearms,III,65,0,1,0
522,Less than HS,≤34,M,Hispanic,Robbery,I,48,0,1,0
523,High School,55+,M,Black,Firearms,III,46,0,0,0
524,Undergraduate Degree,35-44,M,White,Sexual Abuse,I,15,0,0,0
525,High School,55+,M,Black,Immigration,I,70,0,1,0
526,Some College,35-44,M,Hispanic,Fraud,II,65,0,1,0
527,Less than HS,≤34,F,White,Immigration,III,40,0,0,0
528,High School,≤34,M,Black,Fraud,III,68,0,1,0
529,Some College,≤34,M,White,Immigration,III,35,0,0,0
530,High School,55+,M,Hispanic,Fraud,I,82,0,1,0
531,High School,≤34,M,White,Immigration,I,85,0,0,0
532,Graduate Degree,55+,M,White,Money Laundering,I,39,0,0,0
533,High School,35-44,M,Other,Immigration,I,58,0,1,0
534,High School,45-54,M,Other,Drug Trafficking,III,24,1,1,0
535,High School,35-44,M,Other,Firearms,III,66,0,1,0
536,High School,≤34,M,Hispanic,Firearms,I,62,0,0,0
537,High School,≤34,M,Other,Firearms,V,64,0,1,0
538,Less than HS,≤34,M,White,Drug Trafficking,V,26,0,1,0
539,Less than HS,35-44,M,White,Immigration,II,64,0,0,0
540,High School,55+,M,Hispanic,Firearms,III,92,0,1,0
541,High School,55+,M,Other,Fraud,I,59,0,1,0
542,High School,≤34,M,Black,Immigration,I,81,0,1,0
543,Less than HS,≤34,M,Black,Firearms,II,82,0,1,0
544,Some College,45-54,M,Black,Immigration,I,44,1,1,0
545,High School,55+,M,Hispanic,Fraud,II,71,0,0,0
546,Less than HS,≤34,M,Hispanic,Immigration,V,41,0,1,0
547,Less than HS,≤34,M,Black,Drug Trafficking,IV,49,0,0,0
548,Less than HS,≤34,F,Hispanic,Immigration,I,72,0,0,0
549,Undergraduate Degree,55+,F,Hispanic,Drug Trafficking,V,72,0,1,0
550,Undergraduate Degree,45-54,M,Other,Sexual Abuse,I,49,0,1,0
551,Less than HS,≤34,F,Black,Firearms,V,57,0,1,0
552,Less than HS,35-44,M,White,Robbery,IV,23,0,0,0
553,Less than HS,≤34,M,Hispanic,Robbery,I,21,0,1,0
554,Undergraduate Degree,≤34,M,Black,Tax,II,30,0,1,0
555,Less than HS,≤34,M,White,Drug Trafficking,II,56,0,1,0
556,Some College,45-54,M,Hispanic,Firearms,III,73,1,0,0
557,Less than HS,35-44,F,Hispanic,Firearms,I,57,0,1,0
558,Less than HS,≤34,M,White,Drug Trafficking,I,61,0,0,1
559,High School,≤34,M,Other,Immigration,IV,40,0,1,0
560,High School,≤34,M,Black,Drug Trafficking,I,60,0,1,0
561,High School,≤34,M,Black,Immigration,I,65,0,0,0
562,Graduate Degree,55+,M,White,Fraud,I,58,0,0,0
563,Some College,55+,M,Hispanic,Firearms,I,76,0,1,0
564,High School,45-54,M,Hispanic,Drug Trafficking,I,70,0,1,0
565,Less than HS,≤34,F,Hispanic,Immigration,I,68,0,0,0
566,High School,≤34,M,White,Drug Trafficking,III,45,0,1,0
567,Less than HS,≤34,M,Black,Firearms,V,47,0,1,0
568,High School,≤34,M,White,Fraud,VI,74,0,0,0
569,High School,35-44,M,Black,Fraud,I,76,0,0,0
570,Less than HS,35-44,M,Hispanic,Immigration,IV,52,0,0,0
571,Graduate Degree,35-44,M,White,Drug Trafficking,I,49,0,1,0
572,Graduate Degree,55+,M,White,Tax,I,58,1,1,0
573,Some College,35-44,M,White,Fraud,I,60,0,0,0
574,High School,35-44,M,White,Firearms,V,65,1,1,0
575,Less than HS,≤34,F,Hispanic,Fraud,IV,58,0,1,0
576,Some College,45-54,M,White,Immigration,VI,41,0,0,0
577,Some College,55+,M,Hispanic,Fraud,I,36,0,0,0
578,Less than HS,≤34,F,Hispanic,Fraud,I,56,1,0,0
579,High School,≤34,M,Hispanic,Immigration,VI,79,0,0,0
580,Less than HS,≤34,F,White,Drug Trafficking,IV,75,0,0,0
581,Less than HS,35-44,M,Hispanic,Firearms,I,71,0,1,0
582,High School,≤34,M,White,Drug Trafficking,I,76,0,1,0
583,Less than HS,≤34,M,Hispanic,Drug Trafficking,I,44,0,1,0
584,High School,35-44,M,Hispanic,Firearms,I,58,0,1,0
585,High School,45-54,M,Black,Fraud,IV,76,0,0,0
586,High School,55+,M,Black,Drug Trafficking,V,62,0,1,0
587,Some College,55+,F,White,Fraud,VI,32,0,1,0
588,Some College,35-44,F,Black,Fraud,V,58,0,1,0
589,High School,55+,M,Hispanic,Drug Trafficking,II,75,0,0,0
590,High School,45-54,M,Black,Fraud,I,54,0,0,0
591,High School,35-44,M,Hispanic,Drug Trafficking,III,78,0,1,0
592,High School,35-44,M,White,Drug Trafficking,II,66,0,0,0
593,High School,35-44,M,White,Immigration,IV,51,0,1,0
594,Undergraduate Degree,45-54,F,Other,Fraud,I,69,0,1,0
595,Less than HS,≤34,M,Hispanic,Fraud,II,56,0,1,0
596,Less than HS,≤34,F,Black,Immigration,II,52,0,0,0
597,Less than HS,≤34,F,Hispanic,Robbery,III,52,1,0,0
598,High School,35-44,M,Hispanic,Fraud,I,38,0,0,0
599,Some College,≤34,M,Other,Fraud,V,75,0,1,0
600,Less than HS,≤34,M,Black,Firearms,VI,32,0,1,0
601,Undergraduate Degree,55+,M,Hispanic,Sexual Abuse,I,46,0,1,0
602,Some College,55+,M,Hispanic,Immigration,III,57,0,1,0
603,Less than HS,≤34,M,Hispanic,Robbery,II,33,0,1,0
604,High School,≤34,F,Black,Drug Trafficking,III,67,0,0,0
605,High School,35-44,F,Black,Drug Trafficking,I,65,0,0,0
606,Undergraduate Degree,55+,M,Black,Fraud,I,62,0,0,0
607,Less than HS,≤34,M,Hispanic,Firearms,I,50,0,1,0
608,Some College,35-44,M,Other,Child Pornography,IV,48,0,1,0
609,Less than HS,≤34,F,Black,Fraud,I,68,0,1,0
610,High School,35-44,M,Other,Firearms,I,84,0,1,0
611,Graduate Degree,55+,M,Other,Drug Trafficking,I,34,0,1,0
612,Some College,≤34,F,Hispanic,Fraud,I,51,0,1,0
613,High School,45-54,F,Other,Fraud,V,71,0,1,0
614,Less than HS,≤34,M,Other,Fraud,V,32,1,1,0
615,High School,45-54,F,White,Drug Trafficking,I,80,0,1,0
616,Less than HS,≤34,M,Black,Fraud,V,63,0,1,0
617,Some College,35-44,M,White,Drug Trafficking,IV,59,0,0,0
618,High School,55+,M,Black,Immigration,VI,70,1,0,0
619,Some College,55+,M,White,Fraud,I,56,0,0,0
620,Less than HS,≤34,M,Hispanic,Firearms,III,56,1,1,0
621,Less than HS,≤34,M,Hispanic,Drug Trafficking,II,21,0,1,0
622,Some College,55+,M,Hispanic,Drug Trafficking,III,43,0,0,0
623,Undergraduate Degree,35-44,M,White,Drug Trafficking,I,40,0,1,0
624,High School,45-54,M,Hispanic,Immigration,V,62,0,0,0
625,Less than HS,≤34,M,Black,Drug Trafficking,I,76,0,1,0
626,Some College,45-54,M,White,Fraud,III,43,0,1,0
627,Less than HS,≤34,M,White,Fraud,IV,65,0,1,0
628,High School,55+,F,Black,Firearms,VI,65,0,1,0
629,Some College,45-54,M,Hispanic,Firearms,I,37,0,1,0
630,Less than HS,≤34,M,Hispanic,Immigration,IV,33,0,0,0
631,Less than HS,35-44,F,White,Firearms,IV,62,0,0,0
632,High School,≤34,M,Hispanic,Fraud,I,53,0,1,0
633,Less than HS,≤34,M,Black,Drug Trafficking,I,83,0,1,0
634,High School,45-54,M,Black,Firearms,V,80,0,1,0
635,High School,55+,F,Other,Firearms,I,76,0,1,0
636,High School,55+,M,Other,Fraud,I,77,0,1,0
637,Less than HS,55+,M,White,Fraud,III,42,0,1,0
638,Less than HS,≤34,M,Hispanic,Drug Trafficking,I,36,0,1,0
639,Some College,45-54,M,Other,Child Pornography,I,46,0,1,1
640,High School,45-54,M,Other,Fraud,IV,59,0,1,0
641,Less than HS,≤34,M,Black,Immigration,VI,64,0,1,0
642,High School,55+,F,Other,Fraud,I,81,0,0,0
643,Undergraduate Degree,45-54,M,Hispanic,Sexual Abuse,IV,38,0,0,0
644,High School,≤34,M,Black,Immigration,VI,81,0,0,0
645,High School,≤34,M,Hispanic,Drug Trafficking,II,51,0,1,0
646,High School,45-54,M,Hispanic,Fraud,I,65,0,0,0
647,Less than HS,35-44,M,Hispanic,Immigration,VI,32,0,0,0
648,High School,55+,M,White,Drug Trafficking,I,47,0,1,0
649,Less than HS,35-44,M,Black,Robbery,III,36,0,0,0
650,Undergraduate Degree,35-44,M,Hispanic,Sexual Abuse,I,60,0,1,0
651,High School,35-44,M,Hispanic,Drug Trafficking,IV,75,0,1,0
652,Less than HS,55+,F,White,Immigration,III,61,0,1,0
653,Undergraduate Degree,≤34,M,Other,Fraud,I,41,0,0,0
654,Less than HS,≤34,M,Hispanic,Drug Trafficking,I,31,0,0,0
655,Some College,≤34,M,Other,Fraud,VI,58,0,0,0
656,High School,35-44,M,White,Fraud,II,54,0,0,0
657,High School,35-44,M,Other,Immigration,III,93,0,0,0
658,High School,55+,M,Black,Firearms,II,36,0,1,0
659,Less than HS,≤34,M,Hispanic,Drug Trafficking,III,69,0,0,0
660,Some College,35-44,M,Black,Firearms,I,23,0,1,0
661,High School,45-54,F,Hispanic,Drug Trafficking,IV,51,0,0,0
662,High School,45-54,M,Black,Firearms,II,76,1,1,0
663,Less than HS,35-44,M,Hispanic,Drug Trafficking,I,59,0,0,0
664,High School,45-54,M,White,Immigration,III,69,0,0,0
665,High School,55+,M,Other,Immigration,VI,79,0,1,0
666,Less than HS,≤34,M,Hispanic,Drug Trafficking,I,75,1,0,0
667,High School,≤34,F,Other,Fraud,I,78,0,1,0
668,Less than HS,≤34,M,Hispanic,Drug Trafficking,I,44,0,0,0
669,Undergraduate Degree,35-44,M,Hispanic,Sexual Abuse,I,51,0,1,0
670,Less than HS,35-44,M,White,Drug Trafficking,V,65,0,1,0
671,High School,35-44,F,Black,Drug Trafficking,I,57,0,0,0
672,High School,≤34,M,Hispanic,Drug Trafficking,I,67,0,1,0
673,High School,≤34,M,White,Immigration,I,74,1,1,0
674,High School,≤34,M,Hispanic,Firearms,I,41,0,0,0
675,High School,≤34,M,Hispanic,Immigration,V,71,0,1,0
676,Undergraduate Degree,45-54,M,White,Drug Trafficking,I,44,0,0,0
677,High School,≤34,M,White,Fraud,I,76,0,1,0
678,Undergraduate Degree,55+,M,White,Child Pornography,I,30,0,0,0
679,Some College,≤34,M,Black,Firearms,V,47,0,0,0
680,Less than HS,≤34,M,Black,Fraud,IV,60,0,1,0
681,Some College,≤34,M,Other,Fraud,IV,68,0,0,0
682,Undergraduate Degree,≤34,M,Other,Fraud,VI,32,0,1,0
683,Some College,45-54,M,Other,Firearms,I,62,0,0,0
684,Less than HS,≤34,M,Black,Firearms,II,61,0,1,0
685,Some College,45-54,M,Other,Child Pornography,III,39,0,0,0
686,Some College,45-54,M,Other,Immigration,I,63,0,1,0
687,Less than HS,45-54,M,Hispanic,Firearms,III,64,0,0,0
688,High School,35-44,M,Black,Immigration,II,36,0,0,0
689,High School,45-54,F,Hispanic,Drug Trafficking,II,58,0,1,0
690,High School,55+,M,Other,Firearms,II,80,0,0,0
691,High School,55+,M,White,Fraud,VI,69,0,1,0
692,Some College,45-54,M,Black,Firearms,V,42,0,0,0
693,Undergraduate Degree,55+,M,White,Drug Trafficking,I,60,0,0,0
694,Less than HS,55+,M,Black,Drug Trafficking,V,58,0,0,0
695,Graduate Degree,35-44,M,White,Child Pornography,I,36,1,0,0
696,Less than HS,≤34,M,Hispanic,Fraud,I,66,0,1,0
697,High School,45-54,M,White,Immigration,II,38,0,1,0
698,High School,45-54,M,Hispanic,Fraud,I,89,0,1,0
699,Less than HS,≤34,M,Black,Drug Trafficking,III,58,0,1,0
700,High School,55+,M,White,Drug Trafficking,I,86,0,0,0
701,High School,35-44,M,Black,Firearms,III,60,0,0,0
702,Undergraduate Degree,≤34,M,Other,Drug Trafficking,III,52,0,1,0
703,High School,55+,M,White,Firearms,I,62,0,0,0
704,Less than HS,45-54,M,Hispanic,Drug Trafficking,I,35,0,0,0
705,High School,45-54,F,Black,Drug Trafficking,III,57,0,1,0
706,Less than HS,≤34,M,Hispanic,Firearms,II,45,0,1,0
707,High School,≤34,M,White,Firearms,I,78,0,1,0
708,Less than HS,≤34,M,Hispanic,Firearms,III,54,0,1,0
709,Some College,35-44,M,Hispanic,Immigration,I,51,0,1,0
710,Some College,45-54,M,Black,Immigration,I,44,1,0,0
711,High School,55+,M,Hispanic,Immigration,V,65,0,0,0
712,High School,55+,M,White,Immigration,III,70,0,1,0
713,Undergraduate Degree,≤34,F,Other,Sexual Abuse,I,32,0,1,1
714,Less than HS,≤34,M,White,Immigration,III,70,0,0,0
715,High School,55+,M,Other,Fraud,IV,37,0,0,0
716,High School,45-54,M,White,Drug Trafficking,V,69,1,0,0
717,Some College,55+,M,Hispanic,Drug Trafficking,I,55,0,0,0
718,High School,≤34,M,Hispanic,Drug Trafficking,VI,55,0,1,0
719,Less than HS,45-54,M,Hispanic,Immigration,II,62,0,1,0
720,Less than HS,≤34,M,Black,Firearms,I,64,0,0,0
721,Less than HS,45-54,F,Hispanic,Drug Trafficking,II,67,0,1,0
722,Some College,55+,M,Other,Firearms,III,43,0,0,0
723,Some College,35-44,M,Other,Immigration,II,42,0,1,0
724,High School,55+,M,Black,Drug Trafficking,I,87,0,0,0
725,High School,≤34,M,Black,Immigration,II,53,1,1,0
726,High School,45-54,M,Hispanic,Immigration,IV,33,0,1,0
727,Less than HS,55+,M,Hispanic,Robbery,II,79,0,0,0
728,High School,55+,F,White,Immigration,III,73,1,1,0
729,High School,≤34,F,Black,Fraud,I,74,0,0,0
730,Graduate Degree,55+,F,White,Drug Trafficking,I,56,0,0,0
731,Less than HS,≤34,M,White,Fraud,V,45,0,1,0
732,High School,35-44,M,Other,Firearms,I,73,0,0,0
733,High School,35-44,M,Hispanic,Immigration,I,78,0,1,0
734,High School,45-54,M,Black,Firearms,II,85,0,0,0
735,Less than HS,35-44,M,Black,Robbery,I,51,0,1,0
736,High School,≤34,M,Black,Firearms,I,69,0,1,0
737,High School,45-54,M,Other,Firearms,III,68,0,1,0
738,Some College,35-44,M,Hispanic,Fraud,I,27,0,0,0
739,High School,35-44,M,Other,Fraud,V,73,0,0,0
740,Less than HS,≤34,F,Hispanic,Fraud,I,47,0,1,0
741,High School,≤34,M,White,Immigration,II,85,0,0,0
742,Undergraduate Degree,35-44,M,Other,Sexual Abuse,V,74,0,0,0
743,Undergraduate Degree,35-44,M,White,Sexual Abuse,I,53,0,1,0
744,Less than HS,35-44,M,Hispanic,Robbery,IV,49,0,1,0
745,High School,≤34,M,White,Drug Trafficking,III,70,0,1,0
746,Graduate Degree,55+,M,White,Fraud,I,51,1,0,1
747,Less than HS,≤34,M,Black,Fraud,I,42,0,0,0
748,Less than HS,≤34,M,Black,Drug Trafficking,II,83,0,0,0
749,High School,55+,F,White,Drug Trafficking,III,33,0,1,0
750,Less than HS,45-54,F,Hispanic,Immigration,III,51,0,1,0
751,High School,55+,M,Other,Firearms,III,77,0,1,0
752,High School,35-44,M,Black,Firearms,IV,66,0,1,0
753,Less than HS,≤34,F,Other,Robbery,I,61,0,1,0
754,High School,≤34,F,Hispanic,Drug Trafficking,VI,99,0,0,0
755,Less than HS,≤34,M,White,Robbery,II,60,0,1,0
756,High School,35-44,F,White,Drug Trafficking,IV,78,0,0,0
757,High School,≤34,M,Other,Fraud,I,80,0,1,0
758,Some College,35-44,M,Hispanic,Drug Trafficking,IV,33,0,1,0
759,Less than HS,35-44,M,Black,Immigration,II,59,0,1,0
760,High School,35-44,M,Hispanic,Immigration,IV,77,0,1,0
761,High School,45-54,M,White,Drug Trafficking,I,79,0,1,0
762,High School,45-54,M,Black,Immigration,IV,74,0,1,0
763,Less than HS,45-54,M,Black,Fraud,IV,45,0,1,0
764,Less than HS,≤34,M,Black,Immigration,II,44,0,0,0
765,High School,≤34,M,Black,Immigration,VI,47,0,1,0
766,Undergraduate Degree,35-44,M,White,Sexual Abuse,V,36,0,0,0
767,Some College,35-44,M,Hispanic,Drug Trafficking,II,81,1,0,0
768,High School,35-44,M,Hispanic,Fraud,VI,67,0,1,0
769,High School,55+,M,Hispanic,Firearms,V,77,0,0,0
770,Less than HS,≤34,M,Black,Firearms,V,38,0,1,0
771,Some College,35-44,M,Other,Fraud,I,51,0,0,0
772,High School,≤34,M,White,Drug Trafficking,VI,33,0,1,0
773,Some College,55+,F,Other,Child Pornography,VI,31,1,0,0
774,Less than HS,≤34,M,Black,Robbery,IV,48,0,1,0
775,High School,≤34,M,White,Fraud,III,46,0,1,0
776,Some College,≤34,M,Black,Fraud,I,68,0,1,0
777,Less than HS,≤34,M,Hispanic,Immigration,IV,56,0,1,0
778,High School,≤34,M,White,Fraud,I,52,0,0,0
779,Some College,55+,F,White,Fraud,I,35,0,0,0
780,High School,55+,M,Hispanic,Firearms,IV,75,0,0,0
781,High School,55+,M,Other,Immigration,IV,84,0,1,0
782,High School,35-44,M,White,Drug Trafficking,VI,65,0,1,0
783,High School,45-54,M,Hispanic,Fraud,III,59,1,1,0
784,High School,55+,M,Black,Immigration,V,70,0,0,0
785,Less than HS,45-54,M,Hispanic,Drug Trafficking,V,59,0,0,0
786,Some College,≤34,M,White,Drug Trafficking,I,41,0,0,0
787,Some College,55+,M,Black,Firearms,V,73,0,1,0
788,Undergraduate Degree,45-54,M,Hispanic,Child Pornography,I,51,0,0,0
789,High School,≤34,M,Other,Drug Trafficking,I,71,0,1,0
790,Undergraduate Degree,≤34,M,White,Sexual Abuse,I,58,0,1,0
791,Less than HS,≤34,M,Black,Drug Trafficking,I,35,0,1,0
792,Less than HS,45-54,M,Other,Firearms,II,45,1,0,0
793,Less than HS,≤34,M,Hispanic,Immigration,V,53,0,0,0
794,High School,45-54,M,Black,Immigration,VI,74,0,0,0
795,High School,35-44,F,Other,Drug Trafficking,I,53,0,1,0
796,Less than HS,35-44,M,Hispanic,Firearms,I,61,0,1,0
797,Some College,≤34,M,Black,Firearms,I,50,0,1,0
798,High School,45-54,M,White,Fraud,VI,95,0,1,0
799,Undergraduate Degree,55+,M,Hispanic,Money Laundering,I,44,0,1,0
800,Undergraduate Degree,35-44,M,Other,Fraud,I,61,0,1,0
801,Less than HS,≤34,F,Other,Fraud,I,55,0,1,0
802,High School,35-44,M,Other,Fraud,V,43,0,0,0
803,High School,35-44,M,Hispanic,Fraud,VI,64,0,1,0
804,Some College,35-44,M,Hispanic,Drug Trafficking,I,30,0,0,0
805,High School,45-54,M,Hispanic,Fraud,VI,84,0,1,0
806,High School,≤34,M,Other,Immigration,VI,73,0,1,0
807,Less than HS,≤34,F,Black,Fraud,II,46,0,1,0
808,Less than HS,45-54,M,Black,Fraud,V,38,0,1,0
809,Some College,35-44,M,Other,Firearms,I,42,0,1,0
810,Less than HS,≤34,M,Black,Immigration,VI,63,0,1,0
811,High School,≤34,M,Hispanic,Fraud,V,66,0,0,0
812,Some College,55+,M,Hispanic,Drug Trafficking,II,46,0,0,0
813,Less than HS,≤34,M,Hispanic,Robbery,I,70,0,0,0
814,Less than HS,35-44,M,Other,Drug Trafficking,I,33,0,0,0
815,High School,45-54,M,Black,Drug Trafficking,I,77,0,1,0
816,High School,35-44,M,Hispanic,Immigration,V,84,0,1,0
817,High School,55+,F,Other,Immigration,VI,77,0,1,0
818,Less than HS,≤34,M,Black,Drug Trafficking,III,57,0,0,0
819,Some College,45-54,M,Other,Fraud,I,42,0,1,0
820,Undergraduate Degree,45-54,M,White,Drug Trafficking,I,56,0,1,0
